Procesos,N,Iteración,Tiempo
2,500,1,0.011007
4,500,1,0.003130
8,500,1,0.003603
16,500,1,0.002989
24,500,1,0.003038
32,500,1,0.003211
64,500,1,0.013876
2,750,1,0.004518
4,750,1,0.004978
8,750,1,0.004925
16,750,1,0.006478
24,750,1,0.005922
32,750,1,0.006350
64,750,1,0.014718
2,1000,1,0.008371
4,1000,1,0.008460
8,1000,1,0.007070
16,1000,1,0.007921
24,1000,1,0.009469
32,1000,1,0.009932
64,1000,1,0.017185
2,1250,1,0.013450
4,1250,1,0.011884
8,1250,1,0.011090
16,1250,1,0.011252
24,1250,1,0.011871
32,1250,1,0.013258
64,1250,1,0.020976
2,1500,1,0.019728
4,1500,1,0.016888
8,1500,1,0.014617
16,1500,1,0.015054
24,1500,1,0.015569
32,1500,1,0.016380
64,1500,1,0.037478
2,1750,1,0.027826
4,1750,1,0.022136
8,1750,1,0.018914
16,1750,1,0.018736
24,1750,1,0.019443
32,1750,1,0.020725
64,1750,1,0.029400
2,2000,1,0.035983
4,2000,1,0.028598
8,2000,1,0.024577
16,2000,1,0.022657
24,2000,1,0.024118
32,2000,1,0.026835
64,2000,1,0.047206
2,2500,1,0.055791
4,2500,1,0.043276
8,2500,1,0.036127
16,2500,1,0.034593
24,2500,1,0.036562
32,2500,1,0.037295
64,2500,1,0.049496
2,3000,1,0.081784
4,3000,1,0.061369
8,3000,1,0.050862
16,3000,1,0.047100
24,3000,1,0.049231
32,3000,1,0.050281
64,3000,1,0.062774
2,3500,1,0.128864
4,3500,1,0.149651
8,3500,1,0.115522
16,3500,1,0.119858
24,3500,1,0.121435
32,3500,1,0.122165
64,3500,1,0.143352
2,4000,1,0.164582
4,4000,1,0.190218
8,4000,1,0.151277
16,4000,1,0.154089
24,4000,1,0.157163
32,4000,1,0.156586
64,4000,1,0.170781
2,5000,1,0.250494
4,5000,1,0.285687
8,5000,1,0.234426
16,5000,1,0.239404
24,5000,1,0.244095
32,5000,1,0.244057
64,5000,1,0.264109
2,6000,1,0.354354
4,6000,1,0.403016
8,6000,1,0.336553
16,6000,1,0.344846
24,6000,1,0.351652
32,6000,1,0.349956
64,6000,1,0.381046
2,7000,1,0.485545
4,7000,1,0.544016
8,7000,1,0.467312
16,7000,1,0.472650
24,7000,1,0.482163
32,7000,1,0.479913
64,7000,1,0.628744
2,8000,1,0.660008
4,8000,1,0.713693
8,8000,1,0.605415
16,8000,1,0.615348
24,8000,1,0.628592
32,8000,1,0.629798
64,8000,1,0.795136
2,10000,1,1.044297
4,10000,1,1.110110
8,10000,1,1.042957
16,10000,1,1.081941
24,10000,1,1.115909
32,10000,1,1.143117
64,10000,1,1.433837
2,12000,1,1.547783
4,12000,1,1.608834
8,12000,1,1.649986
16,12000,1,1.664821
24,12000,1,1.689587
32,12000,1,1.709122
64,12000,1,2.038606
2,14000,1,2.099723
4,14000,1,2.206822
8,14000,1,2.292961
16,14000,1,2.358286
24,14000,1,2.390916
32,14000,1,2.405087
64,14000,1,2.798688
2,16000,1,2.737386
4,16000,1,2.932224
8,16000,1,3.056091
16,16000,1,3.086706
24,16000,1,3.166467
32,16000,1,3.192173
64,16000,1,3.635601
2,18000,1,3.440067
4,18000,1,3.658601
8,18000,1,3.883249
16,18000,1,3.955699
24,18000,1,4.057865
32,18000,1,4.062190
64,18000,1,4.636311
2,20000,1,4.250008
4,20000,1,4.539922
8,20000,1,4.815223
16,20000,1,4.942275
24,20000,1,5.064112
32,20000,1,5.046703
64,20000,1,5.733469
2,24000,1,6.135117
4,24000,1,6.478848
8,24000,1,7.057166
16,24000,1,7.184052
24,24000,1,7.334521
32,24000,1,7.327250
64,24000,1,8.358118
2,28000,1,8.482762
4,28000,1,8.806711
8,28000,1,8.519820
16,28000,1,9.957219
24,28000,1,9.658307
32,28000,1,9.530022
64,28000,1,10.998728
2,32000,1,11.317339
4,32000,1,11.537475
8,32000,1,11.394953
16,32000,1,12.158377
24,32000,1,12.540355
32,32000,1,12.479420
64,32000,1,13.548489
