Procesos,N,Iteración,Tiempo
8,500,1,0.003709
8,500,2,0.003401
8,500,3,0.003631
8,500,4,0.002892
8,500,5,0.003627
8,500,6,0.003524
8,500,7,0.003619
8,500,8,0.003384
8,500,9,0.003430
8,500,10,0.002906
16,500,1,0.003530
16,500,2,0.003454
16,500,3,0.003258
16,500,4,0.003438
16,500,5,0.003481
16,500,6,0.003264
16,500,7,0.003496
16,500,8,0.003519
16,500,9,0.003433
16,500,10,0.002960
24,500,1,0.003451
24,500,2,0.003332
24,500,3,0.003349
24,500,4,0.003378
24,500,5,0.003349
24,500,6,0.003347
24,500,7,0.003296
24,500,8,0.003340
24,500,9,0.003448
24,500,10,0.003031
32,500,1,0.003720
32,500,2,0.003616
32,500,3,0.003880
32,500,4,0.003297
32,500,5,0.003621
32,500,6,0.003205
32,500,7,0.003252
32,500,8,0.003164
32,500,9,0.003969
32,500,10,0.003636
8,1000,1,0.007681
8,1000,2,0.007711
8,1000,3,0.007802
8,1000,4,0.007653
8,1000,5,0.007727
8,1000,6,0.007682
8,1000,7,0.006996
8,1000,8,0.007585
8,1000,9,0.008055
8,1000,10,0.006979
16,1000,1,0.008071
16,1000,2,0.008674
16,1000,3,0.008147
16,1000,4,0.008257
16,1000,5,0.008422
16,1000,6,0.008226
16,1000,7,0.008282
16,1000,8,0.008000
16,1000,9,0.008348
16,1000,10,0.008527
24,1000,1,0.009508
24,1000,2,0.010085
24,1000,3,0.009461
24,1000,4,0.010109
24,1000,5,0.009012
24,1000,6,0.010160
24,1000,7,0.009440
24,1000,8,0.009014
24,1000,9,0.008955
24,1000,10,0.009270
32,1000,1,0.009926
32,1000,2,0.009960
32,1000,3,0.010460
32,1000,4,0.009928
32,1000,5,0.010782
32,1000,6,0.010046
32,1000,7,0.010010
32,1000,8,0.009979
32,1000,9,0.010078
32,1000,10,0.010049
8,2000,1,0.024885
8,2000,2,0.024908
8,2000,3,0.024177
8,2000,4,0.025079
8,2000,5,0.025275
8,2000,6,0.024794
8,2000,7,0.024931
8,2000,8,0.025568
8,2000,9,0.023694
8,2000,10,0.024399
16,2000,1,0.022692
16,2000,2,0.023450
16,2000,3,0.022947
16,2000,4,0.022950
16,2000,5,0.023741
16,2000,6,0.023523
16,2000,7,0.023266
16,2000,8,0.023251
16,2000,9,0.022832
16,2000,10,0.022860
24,2000,1,0.023545
24,2000,2,0.024207
24,2000,3,0.023998
24,2000,4,0.023525
24,2000,5,0.024497
24,2000,6,0.024038
24,2000,7,0.024193
24,2000,8,0.023992
24,2000,9,0.024041
24,2000,10,0.024049
32,2000,1,0.027498
32,2000,2,0.027225
32,2000,3,0.027097
32,2000,4,0.026856
32,2000,5,0.027780
32,2000,6,0.027197
32,2000,7,0.027363
32,2000,8,0.026437
32,2000,9,0.026987
32,2000,10,0.026701
8,4000,1,0.152523
8,4000,2,0.153522
8,4000,3,0.153024
8,4000,4,0.151018
8,4000,5,0.152735
8,4000,6,0.152156
8,4000,7,0.152402
8,4000,8,0.151806
8,4000,9,0.151314
8,4000,10,0.153377
16,4000,1,0.157277
16,4000,2,0.153921
16,4000,3,0.154965
16,4000,4,0.154362
16,4000,5,0.155134
16,4000,6,0.155421
16,4000,7,0.155948
16,4000,8,0.154567
16,4000,9,0.155552
16,4000,10,0.156253
24,4000,1,0.158006
24,4000,2,0.158094
24,4000,3,0.157635
24,4000,4,0.157494
24,4000,5,0.156828
24,4000,6,0.158272
24,4000,7,0.157905
24,4000,8,0.157732
24,4000,9,0.157273
24,4000,10,0.157123
32,4000,1,0.157658
32,4000,2,0.157071
32,4000,3,0.157297
32,4000,4,0.159192
32,4000,5,0.160382
32,4000,6,0.159690
32,4000,7,0.158631
32,4000,8,0.159671
32,4000,9,0.159023
32,4000,10,0.159012
8,8000,1,0.611367
8,8000,2,0.612499
8,8000,3,0.602153
8,8000,4,0.604205
8,8000,5,0.602983
8,8000,6,0.609862
8,8000,7,0.604174
8,8000,8,0.600068
8,8000,9,0.604873
8,8000,10,0.609546
16,8000,1,0.617062
16,8000,2,0.617118
16,8000,3,0.618581
16,8000,4,0.615814
16,8000,5,0.620823
16,8000,6,0.622380
16,8000,7,0.626779
16,8000,8,0.618167
16,8000,9,0.619269
16,8000,10,0.618708
24,8000,1,0.628530
24,8000,2,0.632732
24,8000,3,0.626362
24,8000,4,0.627739
24,8000,5,0.626505
24,8000,6,0.634520
24,8000,7,0.625938
24,8000,8,0.623584
24,8000,9,0.623535
24,8000,10,0.626412
32,8000,1,0.625160
32,8000,2,0.630161
32,8000,3,0.626474
32,8000,4,0.625910
32,8000,5,0.630863
32,8000,6,0.632411
32,8000,7,0.630071
32,8000,8,0.635166
32,8000,9,0.632974
32,8000,10,0.628631
8,16000,1,3.058401
8,16000,2,2.989050
8,16000,3,3.021525
8,16000,4,3.048584
8,16000,5,3.014791
8,16000,6,3.059430
8,16000,7,3.057248
8,16000,8,3.050494
8,16000,9,2.997978
8,16000,10,3.010355
16,16000,1,3.115008
16,16000,2,3.113689
16,16000,3,3.118286
16,16000,4,3.106103
16,16000,5,3.104155
16,16000,6,3.110887
16,16000,7,3.097522
16,16000,8,3.099405
16,16000,9,3.119166
16,16000,10,3.110002
24,16000,1,3.183306
24,16000,2,3.181529
24,16000,3,3.168946
24,16000,4,3.203076
24,16000,5,3.177735
24,16000,6,3.172215
24,16000,7,3.184944
24,16000,8,3.155168
24,16000,9,3.159801
24,16000,10,3.181615
32,16000,1,3.184375
32,16000,2,3.193545
32,16000,3,3.220410
32,16000,4,3.194755
32,16000,5,3.210185
32,16000,6,3.185172
32,16000,7,3.197180
32,16000,8,3.165108
32,16000,9,3.192555
32,16000,10,3.204454
8,24000,1,7.019555
8,24000,2,6.991072
8,24000,3,6.971940
8,24000,4,6.935529
8,24000,5,6.909762
8,24000,6,6.966038
8,24000,7,7.014886
8,24000,8,6.919911
8,24000,9,7.052939
8,24000,10,6.971004
16,24000,1,7.221491
16,24000,2,7.207579
16,24000,3,7.211098
16,24000,4,7.182969
16,24000,5,7.259163
16,24000,6,7.172802
16,24000,7,7.249563
16,24000,8,7.236039
16,24000,9,7.218710
16,24000,10,7.228451
24,24000,1,7.346501
24,24000,2,7.377216
24,24000,3,7.371201
24,24000,4,7.417408
24,24000,5,7.410427
24,24000,6,7.363750
24,24000,7,7.376848
24,24000,8,7.393308
24,24000,9,7.441206
24,24000,10,7.401628
32,24000,1,7.391946
32,24000,2,7.378117
32,24000,3,7.387991
32,24000,4,7.284629
32,24000,5,7.385097
32,24000,6,7.370418
32,24000,7,7.343333
32,24000,8,7.400662
32,24000,9,7.319364
32,24000,10,7.329522
8,32000,1,12.167800
8,32000,2,11.753438
8,32000,3,11.342514
8,32000,4,11.574024
8,32000,5,11.160713
8,32000,6,11.812691
8,32000,7,12.085850
8,32000,8,12.147619
8,32000,9,12.306825
8,32000,10,12.189904
16,32000,1,12.240759
16,32000,2,12.501776
16,32000,3,12.120992
16,32000,4,12.521734
16,32000,5,11.908355
16,32000,6,12.381828
16,32000,7,12.482804
16,32000,8,12.340140
16,32000,9,12.144080
16,32000,10,12.282055
24,32000,1,12.206413
24,32000,2,12.270497
24,32000,3,12.581842
24,32000,4,12.226641
24,32000,5,12.649846
24,32000,6,12.547775
24,32000,7,12.125595
24,32000,8,12.193640
24,32000,9,12.339908
24,32000,10,12.297199
32,32000,1,12.611096
32,32000,2,12.805087
32,32000,3,12.697737
32,32000,4,12.646243
32,32000,5,12.906564
32,32000,6,12.813403
32,32000,7,12.724947
32,32000,8,12.676730
32,32000,9,12.632431
32,32000,10,12.681380
